type,partId,qtyChange,unitCost,unitPrice,referenceType,referenceId,createdAt
COUNTER_SALE,694d893a02c603960188f432,-2,22000,22500,COUNTER_SALE,694d8fbd02c603960188f4db,2025-12-25T19:25:49.849Z
RECEIVE,694d893a02c603960188f432,6,22000,,PURCHASE,,2025-12-25T19:24:32.965Z
